*214354	1141156836
*1897	1140871052|1141146606|1141180936
*27334	1140875990|1141157458
*3634	1140879628
*25480	1140872228
*1309342	1140883066
*25806	1140870788
*85762	1140928384
*358263	1141187810
*41493	1140926732
*69749	1141145660
*36345	1140883748
*83008	1140917306
*880350	1193|1140909674
*9997	1140866236
*20352	1140909368
*36567	1140861958
*37175	1141200708
*32675	1140883568
*1347	1140884654
*274783	1140883066
*1433887	1140861954
*1363588	1140875990|1141157458
*29410	1140865350|1140879428
*72143	1141168574
*6058	1140861008
*8638	1140874930|1141157402
*28889	1140862772|1141157324
*51272	1141152848
*39954	1140888538
*4053	1140873608
*314517	1199
*6918	1140879818
*857917	1140910498
*30257	1140928284
*8214	1140911640
*83515	1141171336
*1908	1140870788
*114200	1140865872
*41127	1140888594
*47579	1140864566
*7531	1140867818
*6057	1140860954|1140861008|1140888762|1140910512|1141157254
*5514	1140870504|1140910494|1141173348
*6142	1140871506
*9947	1140879854
*144377	1199
*1309230	1141180036
*18603	1140883500
*1292	1140875420
*84108	1141177600
*1314221	1141150750
*91516	1140870512|1140912228
*285208	1199
*42463	1140888648
*194881	1141176284
*10379	1140868532
*141366	1141151284
*3350	1141180314
*8727	1140868588
*5492	1140874896|1141157294
*25789	1141152590
*4337	1140880956
*134615	1141150750
*6470	1140863302
*4124	1141181700
*135775	1141150620
*322167	1141200322
*4603	1140909708
*55685	1141180314
*746741	1141164060
*219315	1140888386
*1244014	1140870954|1140871050|1141191312
*72625	1141200564
*91263	1199|1203
*11253	1140852948|1140870954|1140909878
*9524	1140909702
*83367	1141146234
*46041	1140922174
*2670	1140882394|1140884444
*18631	1140873642
*50166	1140888556
*1151	1140870932
*298869	1141201244
*321064	1141193282
*851994	1199
*10759	1140868426
*39786	1140916282
*55018	1140888432
*10454	1140888366
*41967	1193|1140909674
*8640	1140868364
*259449	1199
*2598	1140872150
*259265	1199
*83818	1141152998
*259274	1199
*203219	1197|1140916682
*2541	1140865426
*1256	1140869930
*108074	1140884696
*73494	1141166006
*1592259	1140888432
*39952	1140888538
*7454	1140874126
*31748	1140910766
*70618	1140882498|1140888758
*52103	1140867490
*1309479	1140911680
*38454	1140860904
*7285	1140884560
*5691	1140879630
*90120	1140865872|1140881320|1141145812
*236344	1199|1205
*42351	1140867490
*15996	1141152732
*723	1141180226
*28382	1140861276
*223779	1140888432
*31448	1140875336
*37801	1140927328
*6922	1140874014|1141157364
*187832	1141200004
*58295	1140888538
*1440290	1140888390
*1309228	1199
*11422	1140888538
*4083	1141181700
*34323	1140888432
*46303	1141153490
*1549329	1199
*29155	1140881320
*40001	1140863144
*349908	1140870788
*4821	1140874646
*6809	1140884600|1141189090
*35636	1140867444
*9853	1140862526|1140872198|1140877826|1140879404|1140909788|1140910814|1140922174|1141168584|1141175684|1141191044
*18747	1141153242
*82003	1140879404
*265647	1140911732
*7821	1140873548
*281	1140909954
*11170	1140888510
*236911	1140888538
*37925	1141168680
*1311533	1140867490
*3626	1140879430
*11246	1140852756
*1909	1140870788
*6851	1140869848
*5784	1140879782
*1191	1140861806|1140868226
*39937	1140888538
*89870	1199
*86009	1140883066
*59203	1140888432
*275635	1141172924
*6218	1140865800
*978673	1140888386
*19831	1140862572|1141157418
*10689	1140864992
*34322	1140888432
*253193	1199
*72302	1140928274
*88249	1141157126
*2403	1140879658
*39993	1140865016
*28439	1140872290
*4094	1141181594
*1370983	1187
*21406	1189
*6448	1140867490
*8588	1140888432
*88014	1141167932
*3264	1140874816
*24909	1140888386
*11289	1140888266|1140910832
*32968	1141168318
*1311363	1141150750
*11258	1140871138
*43611	1141146188
*1312375	1140910498
*7407	1140872492
*1423803	1140860834|1140923670|1141157252
*42316	1140911642
*34299	1140888432
*5553	1140883656
*11251	1140871024|1140909872|1140909874
*2683	1140875486
*6465	1140867726
